Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:14:21   1.9   0.0   0.3  97.8   0.0    3   5901   4200    0    0    0 123.78    0.07  61.97   3.78  61.81  0.00 Hz   -N/A-
23:14:22   1.8   0.0   0.4  97.9   0.0    3   6006   4131    0    0    0 123.52    0.07  61.71   3.77  61.81  0.00 Hz   -N/A-
23:14:23   1.9   0.0   0.4  97.8   0.0    3   6031   4287    0    0    0 123.73    0.07  61.92   3.76  61.81  0.00 Hz   -N/A-
23:14:24   2.4   0.0   0.8  96.7   0.0    5   5849  11884    0    0    0 129.49    0.07  66.19   3.77  63.30  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:14:25   3.0   0.0   1.3  95.7   0.0    3   6084  26666    0    0    0 137.16    0.07  71.62   3.78  65.54  0.00 Hz   -N/A-
23:14:26   2.9   0.0   1.3  95.8   0.0    5   6093  23000    0    0    0 137.72    0.08  71.78   3.79  65.94  0.00 Hz   -N/A-
23:14:27   2.0   0.0   1.0  97.0   0.0    3   7264  21534    0    0    0 135.09    0.07  69.48   1.51  65.61  0.00 Hz   -N/A-
23:14:28   1.1   0.0   1.0  97.9   0.0    3   8071  22676    0    0    0 134.04    0.07  68.09   0.15  65.96  0.00 Hz   -N/A-
23:14:29   1.8   0.0   0.4  97.8   0.0    3   6522   9419    0    0    2 126.71    0.07  63.76   0.14  62.95  0.00 Hz   -N/A-
23:14:30   3.4   0.0   0.5  96.1   0.0    4   4340   4652    0    0    1 126.85    0.07  65.02   3.34  61.83  0.00 Hz   -N/A-
23:14:31   3.7   0.0   0.6  95.7   0.0    4   4087   4822    0    0    0 127.56    0.07  65.74   3.79  61.82  0.00 Hz   -N/A-
23:14:32   3.5   0.0   0.7  95.8   0.0    4   4112   4755    0    0    1 127.33    0.07  65.51   3.79  61.82  0.00 Hz   -N/A-
23:14:33   3.7   0.0   0.6  95.7   0.0    4   4049   4948    0    0    0 127.54    0.07  65.72   3.78  61.82  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:14:34   3.5   0.0   0.6  95.8   0.0    4   4137   5178    0    0    0 127.32    0.07  65.49   3.77  61.83  0.00 Hz   -N/A-
23:14:35   3.6   0.0   0.7  95.7   0.0    4   4082   5018    0    0    0 127.51    0.07  65.69   3.76  61.82  0.00 Hz   -N/A-
23:14:36   3.5   0.0   0.7  95.8   0.0    4   4106   4964    0    0    0 127.29    0.08  65.47   3.77  61.82  0.00 Hz   -N/A-
