Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:27   3.6   0.0   0.7  95.7   0.0    3   4644   9420    0    0    0 124.90    0.07  63.90   3.24  60.99  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:28   3.5   0.0   0.7  95.8   0.0    3   4746   5931    6    2    5 124.62    0.07  63.60   3.24  61.02  0.00 Hz   -N/A-
23:23:29   3.6   0.0   0.6  95.7   0.0    3   4230   5312    0    0    0 124.69    0.07  63.69   3.22  61.00  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:30   3.1   0.0   0.6  96.3   0.0    2   4586   4866    0    0    0 123.90    0.07  62.92   2.60  60.98  0.00 Hz   -N/A-
23:23:31   1.9   0.0   0.3  97.8   0.0    2   6066   4301    0    0    0 121.57    0.07  60.57   0.11  61.00  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:32   2.2   0.0   0.3  97.5   0.0    3   5733   4305    0    0    0 122.06    0.07  61.06   0.73  60.99  0.00 Hz   -N/A-
23:23:33   3.6   0.0   0.7  95.7   0.0    3   4028   4679    0    0    0 124.71    0.07  63.72   3.25  60.99  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:34   3.6   0.0   0.6  95.8   0.0    3   4203   4837    0    0    0 124.71    0.07  63.67   3.27  61.04  0.00 Hz   -N/A-
23:23:35   2.5   0.0   0.4  97.1   0.0    2   5415   4503    0    0    0 122.65    0.07  61.66   3.27  60.99  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:36   1.8   0.0   0.4  97.9   0.0    2   6046   4148    0    0    0 121.38    0.07  60.39   3.24  60.99  0.00 Hz   -N/A-
23:23:37   1.8   0.0   0.4  97.8   0.0    2   5924   4163    0    0    0 121.50    0.07  60.52   3.24  60.99  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:38   2.7   0.0   0.6  96.8   0.0    3   5780  10194    8    4    8 123.33    0.07  62.27   3.24  61.06  0.00 Hz   -N/A-
23:23:39   3.6   0.0   0.7  95.7   0.0    3   5257  14588    0    0    0 125.07    0.07  64.05   3.24  61.02  0.00 Hz   -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    core  pkg-0   core  pkg-1  CPU Freq  GPU W
23:23:40   3.2   0.0   0.6  96.2   0.0    2   5749  14767    0    0    0 124.34    0.07  63.33   2.61  61.00  0.00 Hz   -N/A-
23:23:41   1.8   0.0   0.3  97.9   0.0    2   7088  13502    0    0    0 121.86    0.07  60.78   0.11  61.08  0.00 Hz   -N/A-
