Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:34   0.0   0.0   0.0 100.0   0.0    2    250    198    0    0    0  22.87    1.26  12.88   0.94   9.99  20.00  22.00  1.69 GHz  -N/A-
23:44:35   0.0   0.0   0.0 100.0   0.0    2    403    319    0    0    0  23.70    1.52  12.63   1.04  11.07  20.00  20.00  1.26 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:36   0.0   0.0   0.0 100.0   0.0    2    386    306    0    0    0  23.59    1.27  13.32   1.05  10.27  19.00  20.00  1.65 GHz  -N/A-
23:44:37   0.0   0.0   0.0 100.0   0.0    2    365    271    0    0    0  22.36    1.21  12.10   0.94  10.26  20.00  20.00  1.31 GHz  -N/A-
23:44:38   0.0   0.0   0.0  99.9   0.0    2   1186    720   10    0   13  24.30    1.48  13.24   1.08  11.07  19.00  20.00  1.81 GHz  -N/A-
23:44:39   0.0   0.0   0.0 100.0   0.0    2    422    298    0    0    0  23.34    1.40  13.10   1.08  10.24  20.00  20.00  1.26 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:40   0.0   0.0   0.0 100.0   0.0    2    300    247    0    0    0  22.86    1.30  12.56   0.98  10.30  20.00  20.00  1.58 GHz  -N/A-
23:44:41   0.0   0.0   0.0 100.0   0.0    2    330    242    0    0    0  21.87    1.28  11.98   0.84   9.88  19.00  20.00  1.63 GHz  -N/A-
23:44:42   0.0   0.0   0.0 100.0   0.0    2    312    214    0    0    0  21.83    1.20  12.01   0.77   9.82  19.00  20.00  1.34 GHz  -N/A-
23:44:43   0.0   0.0   0.0 100.0   0.0    2    421    285    0    0    0  22.77    1.39  12.46   0.96  10.31  19.00  20.00  1.25 GHz  -N/A-
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts    dram  pkg-0   dram  pkg-1 x86_pk x86_pk  CPU Freq  GPU W
23:44:44   0.0   0.0   0.0 100.0   0.0    2    283    213    0    0    0  21.68    1.16  11.97   0.78   9.70  19.00  20.00  1.55 GHz  -N/A-
23:44:45   0.0   0.0   0.0  99.9   0.0    2    401    635    8    4    8  25.60    1.54  14.09   1.29  11.52  19.00  20.00  1.78 GHz  -N/A-
23:44:46   0.0   0.0   0.0 100.0   0.0    2    273    201    0    0    0  22.01    1.25  11.93   0.77  10.08  19.00  20.00  1.61 GHz  -N/A-
